 NAME NORB NELEC  NPQ   ZETAS     ZETAP     ZETAD    ZETAD2    DZCOEF    DZCOEF2
  Ga     .0000  7.7900 13.2160   .0000  5.8100  6.0490   .0000   .0000   .0000
# Ge     .0000  9.7100 15.2100   .0000  8.2500  7.5500   .0000   .0000   .0000
  Ge     .0000  8.5750 16.2140   .0000  6.6140  7.8220   .0000   .0000   .0000
# As     .0000 11.1600 17.9400   .0000  9.0700  9.1800   .0000   .0000   .0000
  As     .0000  9.3400 19.1940   .0000  7.3910  9.5360   .0000   .0000   .0000
# Se     .0000 12.0900 20.8300   .0000  9.8700 10.7800   .0000   .0000   .0000
  Se     .0000 10.0850 22.1880   .0000  8.1400 11.2410   .0000   .0000   .0000
# Br     .0000  6.1800 24.0100   .0000 10.6400 12.3400   .0000   .0000   .0000
  Br     .0000 10.8110 25.2110   .0000  8.8650 12.9610   .0000   .0000   .0000
#  Kr     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
# Rb     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
  Rb     .0000  3.6600  4.3260   .0000  2.6880  2.7600   .0000   .0000   .0000
# Sr    2.2200  4.2900  6.4400  1.9100  3.2100  4.3200   .0000   .0000   .0000
  Sr    2.2200  4.2560  6.0980  1.9100  3.3640  3.7870   .0000   .0000   .0000
#  Y    2.0800  4.6600  6.7500  1.9500  3.4300  4.4200  2.5500  5.6100  4.7900
   Y    2.0800  4.3950  6.0140  1.9500  3.3940  3.6180  2.5500  7.3510  5.7370
# Zr    1.5500  4.7800  6.1100  2.2200  2.1900  4.0400  2.3000  6.4900  5.7700
  Zr    1.5500  4.6390  6.4100  2.2200  3.5790  3.7740  2.3000  8.3200  6.9690
# Nb    1.4500  5.2200  6.3400  2.1200  2.5200  4.1600  2.0800  7.3600  6.7400
  Nb    1.4500  4.8430  6.7050  2.1200  3.7230  3.8780  2.0800  9.1970  8.1440
# Mo    1.3500  5.6400  6.5700  1.9700  2.9600  4.2000  1.8500  8.2400  7.7100
  MO    1.3500  5.0200  6.9360  1.9700  3.8390  3.9460  1.8500 10.0140  9.2880
# Tc    1.2400  6.0600  6.8000  1.7800  3.5300  4.1800  1.6100  9.1100  8.6900
  Tc    1.2400  5.1770  7.1280  1.7800  3.9350  3.9920  1.6100 10.7900 10.4140
# Ru    1.1400  6.4900  7.0300  1.5600  4.2200  4.0500  1.3800  9.9900  9.6500
  Ru    1.1400  5.3200  7.2930  1.5600  4.0160  4.0220  1.3800 11.5360 11.5330
# Rh    1.0300  6.9100  7.2500  1.3000  5.0300  3.8400  1.1400 10.8700 10.6400
  Rh    1.0300  5.4510  7.4330  1.3000  4.0860  4.0420  1.1400 12.2570 12.6490
# Pd     .9300  7.3300  7.4800  1.1300  5.5500  3.8400   .9000 11.7300 11.6000
  Pd     .9300  5.5710  7.5510  1.1300  4.1470  4.0570   .9000 12.9610 13.7590
# Ag     .8300  7.7700  7.7100   .9500  6.0800  3.8300   .6700 12.6100 12.5600
  Ag     .8300  5.6840  7.6640   .9500  4.2000  4.0710   .6700 13.6480 14.8840
# Cd     .8500  8.0900  9.4900  1.9700  6.3200  4.7200   .0000   .0000   .0000
  Cd     .8500  6.1180  9.2530  1.9700  4.6760  4.9330   .0000 14.7560 20.0910
# In     .7100  8.4700  9.8000   .6100  7.1400  3.8000   .0000   .0000   .0000
  In     .7100  6.6850 11.7670   .6100  5.1420  5.7920   .0000   .0000   .0000
# Sn     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
  Sn     .0000  7.2440 14.1500   .0000  5.7220  7.3110   .0000   .0000   .0000
# Sb     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
  Sb     .0000  7.7830 16.4780   .0000  6.2770  8.7510   .0000   .0000   .0000
# Te     .0000   .0000 20.8000   .0000   .0000 13.2000   .0000   .0000   .0000
  Te     .0000  8.3040 18.7760   .0000  6.8070 10.1580   .0000   .0000   .0000
#  I     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
   I     .0000   .0000  8.8090 21.0690   .0000  7.3180 11.5610   .0000   .0000
#  Xe
# Cs     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
  Cs     .0000  3.2580  3.9600   .0000  2.4640  2.6250   .0000   .0000   .0000
# Ba     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
  Ba     .0000  5.4860  3.7220   .0000  3.5590  3.0110   .0000   .0000   .0000
  La     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
# Hf     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
  Hf     .0000  4.6040  6.6060   .0000  3.5440  3.8380   .0000  7.8310  6.8950
# Ta     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
  Ta     .0000  4.7770  6.8890   .0000  3.6720  3.9390   .0000  8.4810  8.0280
#  W     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
   W     .0000  4.9290  7.1150   .0000  3.7760  4.0070   .0000  9.0860  9.1370
# Re     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
  Re     .0000  5.0640  7.2970   .0000  3.8640  4.0520   .0000  9.6580 10.2350
# Os     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
  Os     .0000  5.1870  7.4500   .0000  3.9400  4.0880   .0000 10.2050 11.3260
# Ir     .0      .0    11.36     .0      .0     4.5      .0      .0    12.17
  Ir     .0     5.299   7.584    .0     4.006   4.115    .0    10.734  12.429
# Pt     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
  Pt     .0000  5.4030  7.6930   .0000  4.0620  4.1290   .0000 11.2460 13.5260
# Au     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
  Au     .0000  5.4980  7.7910   .0000  4.1120  4.1420   .0000 11.7440 14.6130
# Hg     .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
  Hg     .0000  5.8500  9.2180   .0000  4.5030  4.9300   .0000 12.5490 19.0130
  Tl     .0000  6.3120 11.5250   .0000  4.8830  5.7150   .0000   .0000   .0000
  Pb     .0000  6.7640 13.6730   .0000  5.3600  7.1200   .0000   .0000   .0000
  Bi     .0000  7.1980 15.7570   .0000  5.8140  8.4350   .0000   .0000   .0000
  Po     .0000  7.6140 17.7940   .0000  6.2440  9.7100   .0000   .0000   .0000
#  At     .0000  8.0150 19.8080   .0000  6.6540 10.9660   .0000   .0000   .0000
END
